subjectName,OwnerGroup,LessonTitle,LessonAdminURL,Content Map Title,Resource Subject,Resource Level,CM EndDate,status
Science,Sec_Sci,Diseases [USS NT],https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/74015ad9-7bc2-48cb-acdb-28d7849db2bf,UPPER SEC SCIENCE (NT) (2014),Science,Secondary 3 Normal (T) - Secondary 4 Normal (T),31/12/24,APPROVED
Science,Sec_Sci,Potential Electrical Dangers and Precautions at Home [USS NT],https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/78d27af3-347f-4be6-8692-3b94dc5176c4,UPPER SEC SCIENCE (NT) (2014),Science,Secondary 3 Normal (T) - Secondary 4 Normal (T),31/12/24,APPROVED
Science,Sec_Sci,Series and Parallel Circuits in Daily Life [USS NT],https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/7c819d91-a752-4928-9e9e-36c6577c73ea,UPPER SEC SCIENCE (NT) (2014),Science,Secondary 3 Normal (T) - Secondary 4 Normal (T),31/12/24,APPROVED
Science,Sec_Sci,Waves (II) [USS NT],https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/7ee17811-609f-4173-8631-42dc8771c47d,UPPER SEC SCIENCE (NT) (2014),Science,Secondary 3 Normal (T) - Secondary 4 Normal (T),31/12/24,APPROVED
Science,Sec_Sci,Enzymes in Digestion [USS NT],https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/8b865313-325f-4467-9a25-9bc79c0f5ac3,UPPER SEC SCIENCE (NT) (2014),Science,Secondary 3 Normal (T) - Secondary 4 Normal (T),31/12/24,APPROVED
Science,Sec_Sci,Effects of Overconsumption of Alcohol on the Liver [USS NT],https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/94b5a7bd-b825-4e90-a507-aa1541ff84e4,UPPER SEC SCIENCE (NT) (2014),Science,Secondary 3 Normal (T) - Secondary 4 Normal (T),31/12/24,APPROVED
Science,Sec_Sci,Effects and Treatment of Waste Water [USS NT] ,https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/9748f76a-fddd-4d8e-afc3-9b996012d153,UPPER SEC SCIENCE (NT) (2014),Science,Secondary 3 Normal (T) - Secondary 4 Normal (T),31/12/24,APPROVED
Science,Sec_Sci,Our Digestive System [USS NT],https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/98569de1-d214-4496-b935-dd8e168a8c7b,UPPER SEC SCIENCE (NT) (2014),Science,Secondary 3 Normal (T) - Secondary 4 Normal (T),31/12/24,APPROVED
Science,Sec_Sci,Measurement and Effects of pH [USS NT],https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/9f2a46dd-89ea-4356-812b-2e5fe3cc4067,UPPER SEC SCIENCE (NT) (2014),Science,Secondary 3 Normal (T) - Secondary 4 Normal (T),31/12/24,APPROVED
Science,Sec_Sci,Effects of Forces [USS NT],https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/aac348d4-574c-4e5e-a255-3c390cf269db,UPPER SEC SCIENCE (NT) (2014),Science,Secondary 3 Normal (T) - Secondary 4 Normal (T),31/12/24,APPROVED
