"School","Year","Phase","Vacancy","Registration","Left","Success Rate","Max PR Vacancy"
"Maris Stella High School (Primary Section)","2021","Phase 1","230","53","177","100%","230"
"Maha Bodhi School","2021","Phase 1","290","130","160","100%","290"
"Lianhua Primary School","2021","Phase 1","200","51","149","100%","200"
"Lakeside Primary School","2021","Phase 1","200","100","100","100%","200"
"Kuo Chuan Presbyterian Primary School","2021","Phase 1","200","82","118","100%","200"
"Kranji Primary School","2021","Phase 1","140","30","110","100%","140"
"Kong Hwa School","2021","Phase 1","230","129","101","100%","230"
"Kheng Cheng School","2021","Phase 1","200","125","75","100%","200"
"Keming Primary School","2021","Phase 1","170","88","82","100%","170"
"Jurong West Primary School","2021","Phase 1","140","72","68","100%","140"
"Jurong Primary School","2021","Phase 1","150","72","78","100%","150"
"Junyuan Primary School","2021","Phase 1","200","75","125","100%","200"
"Jing Shan Primary School","2021","Phase 1","120","64","56","100%","120"
"Jiemin Primary School","2021","Phase 1","180","64","116","100%","180"
"Innova Primary School","2021","Phase 1","140","88","52","100%","140"
"Huamin Primary School","2021","Phase 1","240","133","107","100%","240"
"Hougang Primary School","2021","Phase 1","160","71","89","100%","160"
"Horizon Primary School","2021","Phase 1","200","138","62","100%","200"
"Hong Wen School","2021","Phase 1","170","83","87","100%","170"
"Holy Innocents' Primary School","2021","Phase 1","230","129","101","100%","230"
"Henry Park Primary School","2021","Phase 1","260","136","124","100%","260"
"Haig Girls' School","2021","Phase 1","150","45","105","100%","150"
"Greenwood Primary School","2021","Phase 1","200","81","119","100%","200"
"Greenridge Primary School","2021","Phase 1","200","77","123","100%","200"
"Greendale Primary School","2021","Phase 1","240","59","181","100%","240"
"Gongshang Primary School","2021","Phase 1","170","108","62","100%","170"
"Geylang Methodist School (Primary)","2021","Phase 1","230","87","143","100%","230"
"Gan Eng Seng Primary School","2021","Phase 1","170","40","130","100%","170"
"Fuhua Primary School","2021","Phase 1","180","88","92","100%","180"
"Fuchun Primary School","2021","Phase 1","170","73","97","100%","170"
"Frontier Primary School","2021","Phase 1","170","87","83","100%","170"
"First Toa Payoh Primary School","2021","Phase 1","170","18","152","100%","170"
"Fernvale Primary School","2021","Phase 1","240","80","160","100%","240"
"Fern Green Primary School","2021","Phase 1","240","119","121","100%","240"
"Fengshan Primary School","2021","Phase 1","140","70","70","100%","140"
"Farrer Park Primary School","2021","Phase 1","180","48","132","100%","180"
"Fairfield Methodist School (Primary)","2021","Phase 1","230","124","106","100%","230"
"Evergreen Primary School","2021","Phase 1","170","84","86","100%","170"
"Endeavour Primary School","2021","Phase 1","200","74","126","100%","200"
"Elias Park Primary School","2021","Phase 1","150","81","69","100%","150"
"Edgefield Primary School","2021","Phase 1","200","100","100","100%","200"
"East Spring Primary School","2021","Phase 1","170","67","103","100%","170"
"De La Salle School","2021","Phase 1","200","95","105","100%","200"
"Dazhong Primary School","2021","Phase 1","160","71","89","100%","160"
