1,Area 1: Critical and Inventive Thinking
2,a. Analysis and Evaluation of Information and Ideas
3,b. Generation of Ideas
4,c. Responding to Complexity and Ambiguity
5,Area 2: Communication
6,a. Written and Oral Communication
7,b. Collaborative Communication (Oral)
8,Area 3: Collaboration
9,a. Self-Awareness and Self-Management
10,b. Social Awareness and Relationship Management
11,c. Group Decision-Making and Project Management
