1,இலக்கியம்
2,"இலக்கிய விருந்து நூல் (முழு இலக்கியம், விருப்பப் பாடம்)"
3,இலக்கிய விருந்து பொருள் விளக்கம்
4,மாணவர்கள் இலக்கிய விருந்து நூலில் இடம்பெற்றிருக்கும் பனுவல்களின் பொருளை அறிந்துகொள்வர்.
